City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clovis,36.8252,-119.7029,68.67,37,100,11.5,US,1675551206
1,mount gambier,-37.8333,140.7667,59.36,72,100,3.87,AU,1675551206
2,severo-kurilsk,50.6789,156.125,27.32,72,100,5.86,RU,1675551174
3,lompoc,34.6391,-120.4579,69.94,73,40,9.22,US,1675551207
4,nome,64.5011,-165.4064,12.27,92,100,0.0,US,1675551094
5,codo,-4.4553,-43.8856,76.55,81,87,3.69,BR,1675551212
6,coxim,-18.5067,-54.76,77.04,84,89,2.08,BR,1675551212
7,tasiilaq,65.6145,-37.6368,24.96,88,100,25.66,GL,1675551206
8,bluff,-46.6,168.3333,62.46,90,100,13.98,NZ,1675551213
9,vaini,-21.2,-175.2,80.76,94,75,18.41,TO,1675551213
10,lannion,48.75,-3.4167,46.0,83,100,3.65,FR,1675551213
11,praya,14.9215,-23.5087,70.34,73,0,16.11,CV,1675551117
12,kieta,-6.2167,155.6333,80.08,82,98,3.38,PG,1675551214
13,yerofey pavlovich,53.9667,121.9667,-19.73,99,91,3.04,RU,1675551214
14,sorong,-0.8833,131.25,78.01,85,100,4.94,ID,1675551188
15,georgetown,5.4112,100.3354,78.73,88,20,9.22,MY,1675551205
16,dabat,12.9842,37.765,54.57,45,14,3.94,ET,1675551215
17,castro,-24.7911,-50.0119,63.41,94,84,4.54,BR,1675551215
18,rikitea,-23.1203,-134.9692,79.16,74,2,12.97,PF,1675551215
19,pleshanovo,52.8333,53.4833,6.76,91,100,4.97,RU,1675551216
20,cayenne,4.9333,-52.3333,75.24,100,75,3.44,GF,1675551089
21,havoysund,70.9963,24.6622,26.83,90,99,11.48,NO,1675551217
22,tucumcari,35.1717,-103.725,69.94,13,0,9.22,US,1675551217
23,punta arenas,-53.15,-70.9167,51.91,93,100,9.22,CL,1675551218
24,bredasdorp,-34.5322,20.0403,68.04,89,0,7.7,ZA,1675551218
25,hermanus,-34.4187,19.2345,70.81,92,24,6.82,ZA,1675551098
26,bodden town,19.2833,-81.25,80.6,79,20,10.36,KY,1675551218
27,thompson,55.7435,-97.8558,-0.24,65,75,4.61,CA,1675551176
28,ushuaia,-54.8,-68.3,53.26,62,75,11.5,AR,1675551219
29,bethel,41.3712,-73.414,19.36,38,100,5.75,US,1675551162
30,bengkulu,-3.8004,102.2655,74.01,89,100,4.94,ID,1675551219
31,cidreira,-30.1811,-50.2056,74.05,75,57,10.63,BR,1675551045
32,ribeira grande,38.5167,-28.7,61.77,91,26,11.01,PT,1675551220
33,salisbury,51.0693,-1.7957,47.77,82,100,5.75,GB,1675551220
34,carnarvon,-24.8667,113.6333,78.89,70,1,7.14,AU,1675551220
35,kailua,21.4022,-157.7394,72.9,87,100,3.0,US,1675551048
36,leningradskiy,69.3833,178.4167,-25.53,99,100,4.52,RU,1675551221
37,husavik,66.0449,-17.3389,27.18,75,38,14.81,IS,1675551221
38,hasaki,35.7333,140.8333,38.21,56,5,16.11,JP,1675551222
39,saint-gaudens,43.0833,0.6667,36.01,81,8,5.1,FR,1675551222
40,pedasi,7.5333,-80.0333,77.07,76,42,20.76,PA,1675551222
41,port lincoln,-34.7333,135.8667,64.71,66,61,4.56,AU,1675551219
42,bandarbeyla,9.4942,50.8122,74.07,69,90,14.94,SO,1675551223
43,abu dhabi,24.4667,54.3667,66.22,78,0,2.3,AE,1675551223
44,bandar-e lengeh,26.5579,54.8807,65.59,69,27,13.42,IR,1675551224
45,victoria,22.2855,114.1577,64.94,86,100,8.99,HK,1675551052
46,ha noi,21.0245,105.8412,68.0,93,100,8.81,VN,1675551141
47,ahipara,-35.1667,173.1667,72.9,69,100,10.6,NZ,1675551224
48,shemursha,54.8866,47.5189,2.97,100,100,2.53,RU,1675551225
49,loa janan,-0.583,117.095,72.7,98,100,2.08,ID,1675551225
50,atuona,-9.8,-139.0333,78.67,74,30,17.29,PF,1675551225
51,mataura,-46.1927,168.8643,70.56,75,100,2.51,NZ,1675551226
52,esperance,-33.8667,121.9,66.88,61,0,15.37,AU,1675551226
53,nan,18.8333,100.6667,66.22,94,32,0.0,TH,1675551226
54,kapaa,22.0752,-159.319,73.72,89,100,17.27,US,1675551068
55,somerset east,-32.7217,25.588,69.13,73,99,12.21,ZA,1675551227
56,albany,42.6001,-73.9662,11.95,46,70,4.72,US,1675551217
57,barrow,71.2906,-156.7887,-23.78,76,20,10.36,US,1675551227
58,padang,-0.9492,100.3543,75.25,87,100,2.89,ID,1675551227
59,sisimiut,66.9395,-53.6735,-8.52,93,45,8.59,GL,1675551228
60,khatanga,71.9667,102.5,-38.43,100,50,5.06,RU,1675551156
61,mezen,65.8522,44.24,-4.52,100,74,3.42,RU,1675551228
62,ballina,-28.8667,153.5667,84.02,64,95,7.45,AU,1675551229
63,okha,53.5739,142.9478,-19.44,100,76,9.01,RU,1675551229
64,nikolskoye,59.7035,30.7861,24.78,91,99,6.58,RU,1675551183
65,bayeux,-7.125,-34.9322,81.23,83,20,10.36,BR,1675551229
66,hilo,19.7297,-155.09,78.28,83,75,8.05,US,1675551227
67,codrington,-38.2667,141.9667,60.13,75,100,6.24,AU,1675551114
68,port alfred,-33.5906,26.891,74.17,89,100,3.0,ZA,1675550935
69,vao,-22.6667,167.4833,79.52,87,92,19.51,NC,1675551157
70,faanui,-16.4833,-151.75,81.57,73,56,17.45,PF,1675551037
71,hamilton,39.1834,-84.5333,48.15,41,0,19.57,US,1675550991
72,zalantun,48.0,122.7167,-3.95,92,5,6.33,CN,1675551232
73,busselton,-33.65,115.3333,75.33,40,77,5.82,AU,1675551233
74,airai,-8.9266,125.4092,62.24,88,98,2.37,TL,1675551233
75,laguna,38.421,-121.4238,66.09,64,100,11.5,US,1675551117
76,lebu,-37.6167,-73.65,61.41,89,59,3.06,CL,1675551233
77,hobart,-42.8794,147.3294,67.05,57,20,6.91,AU,1675551234
78,saint-philippe,-21.3585,55.7679,78.39,86,99,10.33,RE,1675551234
79,luanda,-8.8368,13.2343,80.6,78,75,8.05,AO,1675551234
80,adrar,20.5022,-10.0711,59.58,18,99,10.96,MR,1675551105
81,richland,40.7834,-82.5499,37.09,52,0,20.71,US,1675551235
82,namibe,-15.1961,12.1522,70.63,76,71,7.27,AO,1675551235
83,mackenzie,55.2999,-123.1698,34.02,100,100,6.91,CA,1675551235
84,pesaro,43.9036,12.8903,48.22,61,76,4.0,IT,1675551236
85,evensk,61.95,159.2333,-3.3,82,99,8.52,RU,1675551236
86,honiara,-9.4333,159.95,85.51,73,94,2.48,SB,1675551237
87,honningsvag,70.9821,25.9704,26.35,80,74,20.71,NO,1675551237
88,east london,-33.0153,27.9116,74.3,82,100,10.89,ZA,1675551218
89,ravar,31.2656,56.8055,48.47,50,57,3.83,IR,1675551237
90,nueva loja,0.0847,-76.8828,86.02,54,40,4.61,EC,1675551238
91,kazachinskoye,57.6953,93.2761,-5.96,100,98,1.7,RU,1675551238
92,ketchikan,55.3422,-131.6461,46.87,87,100,23.02,US,1675551238
